Product Name,Price,Rating,Reviews,Original_Price,Price_Difference,Out_of_Stock,Brand,Sponsored,Delivery_Mumbai,Delivery_Delhi
Necklaces & Chains,100,3.4,0,120.0,20.0,0,Necklaces,Sponsored,5,5
Necklaces & Chains,200,3.4,0,240.0,40.0,0,Necklaces,Organic,5,4
Necklaces & Chains,500,3.4,0,600.0,100.0,1,Necklaces,Organic,2,3
Necklaces & Chains,700,3.4,0,840.0,140.0,1,Necklaces,Organic,5,2
Necklaces & Chains,1500,3.4,0,1800.0,300.0,0,Necklaces,Organic,2,1
Necklaces & Chains,100,3.4,0,120.0,20.0,0,Necklaces,Organic,3,1
Necklaces & Chains,200,3.4,0,240.0,40.0,0,Necklaces,Organic,5,3
Necklaces & Chains,500,3.4,0,600.0,100.0,0,Necklaces,Organic,2,2
Necklaces & Chains,700,3.4,0,840.0,140.0,0,Necklaces,Organic,1,5
Necklaces & Chains,1500,3.4,0,1800.0,300.0,0,Necklaces,Organic,1,3
Necklaces & Chains,1500,3.4,0,1800.0,300.0,0,Necklaces,Organic,3,1
American diamond locket chain necklace for girl And wom...,114,3.4,0,136.79999999999998,22.799999999999983,0,American,Organic,5,5
American diamond locket chain necklace for girl And wom...,298,3.4,0,357.59999999999997,59.599999999999966,0,American,Organic,4,1
Copper Gold-plated Red Jewel Set,581,3.4,0,697.1999999999999,116.19999999999993,0,Copper,Organic,4,4
Copper Gold-plated Red Jewel Set,1399,3.4,0,1678.8,279.79999999999995,0,Copper,Sponsored,5,4
"Brass Gold-plated Silver, White Jewel Set",156,3.4,0,187.2,31.19999999999999,0,Brass,Sponsored,5,5
"Brass Gold-plated Silver, White Jewel Set",999,3.4,0,1198.8,199.79999999999995,1,Brass,Organic,5,1
"Alloy Silver Silver, White Jewel Set",170,3.4,0,204.0,34.0,0,Alloy,Organic,1,2
"Alloy Silver Silver, White Jewel Set",499,3.4,0,598.8,99.79999999999995,0,Alloy,Organic,1,5
"Alloy Silver Silver, White Jewel Set",170,3.4,0,204.0,34.0,1,Alloy,Organic,1,2
"Alloy Silver Silver, White Jewel Set",499,3.4,0,598.8,99.79999999999995,0,Alloy,Organic,2,4
"Brass Gold-plated Gold, White Jewel Set",199,3.4,0,238.79999999999998,39.79999999999998,0,Brass,Organic,3,4
"Brass Gold-plated Gold, White Jewel Set",399,3.4,0,478.79999999999995,79.79999999999995,0,Brass,Organic,1,4
Alloy Gold-plated White Jewel Set,320,3.4,0,384.0,64.0,0,Alloy,Organic,5,4
Alloy Gold-plated White Jewel Set,699,3.4,0,838.8,139.79999999999995,1,Alloy,Organic,4,2
Brass Sterling Silver Silver Jewel Set,191,3.4,0,229.2,38.19999999999999,0,Brass,Organic,5,5
Brass Sterling Silver Silver Jewel Set,999,3.4,0,1198.8,199.79999999999995,0,Brass,Organic,4,5
"Brass, Stone, Crystal, Stainless Steel Gold-plated Silv...",143,3.4,0,171.6,28.599999999999994,0,"Brass,",Organic,5,1
"Brass, Stone, Crystal, Stainless Steel Gold-plated Silv...",999,3.4,0,1198.8,199.79999999999995,1,"Brass,",Organic,3,5
"Brass Gold-plated Rose Gold, White, Pink Jewel Set",151,3.4,0,181.2,30.19999999999999,0,Brass,Organic,4,4
"Brass Gold-plated Rose Gold, White, Pink Jewel Set",999,3.4,0,1198.8,199.79999999999995,0,Brass,Sponsored,1,1
Alloy Gold-plated Rose Gold Jewel Set,255,3.4,0,306.0,51.0,1,Alloy,Sponsored,5,1
Alloy Gold-plated Rose Gold Jewel Set,499,3.4,0,598.8,99.79999999999995,0,Alloy,Organic,5,5
Metal White Jewel Set,413,3.4,0,495.59999999999997,82.59999999999997,0,Metal,Organic,3,3
Metal White Jewel Set,599,3.4,0,718.8,119.79999999999995,1,Metal,Organic,5,4
Diamond Gold-plated Plated Alloy Necklace Set Diamond B...,144,3.4,0,172.79999999999998,28.799999999999983,1,Diamond,Organic,5,3
Diamond Gold-plated Plated Alloy Necklace Set Diamond B...,999,3.4,0,1198.8,199.79999999999995,0,Diamond,Organic,4,3
Diamond Gold-plated Plated Stainless Steel Necklace,210,3.4,0,252.0,42.0,0,Diamond,Organic,4,5
Diamond Gold-plated Plated Stainless Steel Necklace,399,3.4,0,478.79999999999995,79.79999999999995,0,Diamond,Organic,4,3
"Brass Gold-plated Gold, White Jewel Set",249,3.4,0,298.8,49.80000000000001,0,Brass,Organic,3,2
"Brass Gold-plated Gold, White Jewel Set",999,3.4,0,1198.8,199.79999999999995,0,Brass,Organic,5,3
"Brass Gold-plated Gold, Pink Jewel Set",160,3.4,0,192.0,32.0,0,Brass,Organic,5,2
"Brass Gold-plated Gold, Pink Jewel Set",1999,3.4,0,2398.7999999999997,399.7999999999997,0,Brass,Organic,1,1
"Brass Gold-plated Gold, Black Jewel Set",123,3.4,0,147.6,24.599999999999994,1,Brass,Organic,5,5
"Brass Gold-plated Gold, Black Jewel Set",699,3.4,0,838.8,139.79999999999995,0,Brass,Organic,5,2
